,0,1
129,"[0.9995241165161133, 6, 6, 119511]","[0.7375327348709106, 8, 8, 95776]"
130,"[0.9995001554489136, 6, 6, 119511]","[0.7913500666618347, 8, 8, 95776]"
131,"[0.999573290348053, 6, 6, 119511]","[0.7586315870285034, 8, 8, 95776]"
132,"[0.9996015429496765, 6, 6, 119511]","[0.7864388227462769, 8, 8, 95776]"
133,"[0.9996358156204224, 6, 6, 119511]","[0.7867918014526367, 8, 8, 95776]"
134,"[0.9996083378791809, 6, 6, 119511]","[0.7957148551940918, 8, 8, 95776]"
135,"[0.9996929168701172, 6, 6, 119511]","[0.8208189606666565, 8, 8, 95776]"
136,"[0.9996469020843506, 6, 6, 119511]","[0.8286937475204468, 8, 8, 95776]"
137,"[0.9997485280036926, 6, 6, 119511]","[0.13685810565948486, 0, 8, 95776]"
138,"[0.999645471572876, 6, 6, 119511]","[0.778042197227478, 8, 8, 95776]"
139,"[0.9997432827949524, 6, 6, 119511]","[0.720949113368988, 8, 8, 95776]"
140,"[0.9997780919075012, 6, 6, 119511]","[0.7831896543502808, 8, 8, 95776]"
141,"[0.9998158812522888, 6, 6, 119511]","[0.7993253469467163, 8, 8, 95776]"
142,"[0.999764621257782, 6, 6, 119511]","[0.7848973274230957, 8, 8, 95776]"
143,"[0.9998451471328735, 6, 6, 119511]","[0.8278218507766724, 8, 8, 95776]"
144,"[0.9998094439506531, 6, 6, 119511]","[0.8678407669067383, 8, 8, 95776]"
145,"[0.9998340606689453, 6, 6, 119511]","[0.8851866126060486, 8, 8, 95776]"
146,"[0.9998836517333984, 6, 6, 119511]","[0.8779698610305786, 8, 8, 95776]"
147,"[0.9998069405555725, 6, 6, 119511]","[0.8842390775680542, 8, 8, 95776]"
148,"[0.9998687505722046, 6, 6, 119511]","[0.8485156297683716, 8, 8, 95776]"
149,"[0.999853253364563, 6, 6, 119511]","[0.9057003259658813, 8, 8, 95776]"
150,"[0.999887228012085, 6, 6, 119511]","[0.9037972092628479, 8, 8, 95776]"
151,"[0.9998703002929688, 6, 6, 119511]","[0.9170376062393188, 8, 8, 95776]"
152,"[0.9999207258224487, 6, 6, 119511]","[0.9225913882255554, 8, 8, 95776]"
153,"[0.9999243021011353, 6, 6, 119511]","[0.9304677844047546, 8, 8, 95776]"
154,"[0.9999066591262817, 6, 6, 119511]","[0.923393189907074, 8, 8, 95776]"
155,"[0.9998897314071655, 6, 6, 119511]","[0.9398835301399231, 8, 8, 95776]"
156,"[0.9999370574951172, 6, 6, 119511]","[0.9481490850448608, 8, 8, 95776]"
157,"[0.9999358654022217, 6, 6, 119511]","[0.9617810249328613, 8, 8, 95776]"
158,"[0.9999477863311768, 6, 6, 119511]","[0.9580096006393433, 8, 8, 95776]"
159,"[0.9999464750289917, 6, 6, 119511]","[0.9641029834747314, 8, 8, 95776]"
160,"[0.9999567270278931, 6, 6, 119511]","[0.9621590971946716, 8, 8, 95776]"
161,"[0.9999634027481079, 6, 6, 119511]","[0.9660354852676392, 8, 8, 95776]"
162,"[0.9999728202819824, 6, 6, 119511]","[0.9668593406677246, 8, 8, 95776]"
163,"[0.9999631643295288, 6, 6, 119511]","[0.9681753516197205, 8, 8, 95776]"
164,"[0.9999709129333496, 6, 6, 119511]","[0.9753634929656982, 8, 8, 95776]"
165,"[0.9999653100967407, 6, 6, 119511]","[0.962993323802948, 8, 8, 95776]"
166,"[0.9999799728393555, 6, 6, 119511]","[0.9702192544937134, 8, 8, 95776]"
167,"[0.9999725818634033, 6, 6, 119511]","[0.9621250629425049, 8, 8, 95776]"
168,"[0.9999808073043823, 6, 6, 119511]","[0.9754239320755005, 8, 8, 95776]"
169,"[0.9999854564666748, 6, 6, 119511]","[0.9681140780448914, 8, 8, 95776]"
170,"[0.999980092048645, 6, 6, 119511]","[0.9795702695846558, 8, 8, 95776]"
171,"[0.9999812841415405, 6, 6, 119511]","[0.9721006155014038, 8, 8, 95776]"
172,"[0.9999862909317017, 6, 6, 119511]","[0.9669898748397827, 8, 8, 95776]"
