,0,1
145,"[0.6766965389251709, 4, 4, 68669]","[0.7765985727310181, 6, 6, 121435]"
146,"[0.7285029292106628, 4, 4, 68669]","[0.7785312533378601, 6, 6, 121435]"
147,"[0.43697938323020935, 7, 4, 68669]","[0.676834762096405, 6, 6, 121435]"
148,"[0.5354965925216675, 4, 4, 68669]","[0.6985689401626587, 6, 6, 121435]"
149,"[0.620853066444397, 4, 4, 68669]","[0.7275169491767883, 6, 6, 121435]"
150,"[0.6579651236534119, 4, 4, 68669]","[0.7434694170951843, 6, 6, 121435]"
151,"[0.6748853921890259, 4, 4, 68669]","[0.7736395597457886, 6, 6, 121435]"
152,"[0.711574137210846, 4, 4, 68669]","[0.7813704609870911, 6, 6, 121435]"
153,"[0.7308732271194458, 4, 4, 68669]","[0.7778722047805786, 6, 6, 121435]"
154,"[0.7549479603767395, 4, 4, 68669]","[0.7794805765151978, 6, 6, 121435]"
155,"[0.3744620978832245, 7, 4, 68669]","[0.670911967754364, 6, 6, 121435]"
156,"[0.459530770778656, 7, 4, 68669]","[0.6995202898979187, 6, 6, 121435]"
157,"[0.5066737532615662, 4, 4, 68669]","[0.7132824063301086, 6, 6, 121435]"
158,"[0.5884748697280884, 4, 4, 68669]","[0.7411504983901978, 6, 6, 121435]"
159,"[0.6208372116088867, 4, 4, 68669]","[0.7450076937675476, 6, 6, 121435]"
160,"[0.6248790621757507, 4, 4, 68669]","[0.7668092846870422, 6, 6, 121435]"
161,"[0.6552407145500183, 4, 4, 68669]","[0.7703388333320618, 6, 6, 121435]"
162,"[0.660943865776062, 4, 4, 68669]","[0.7841463088989258, 6, 6, 121435]"
163,"[0.7154204845428467, 4, 4, 68669]","[0.779771625995636, 6, 6, 121435]"
164,"[0.7219287753105164, 4, 4, 68669]","[0.78350830078125, 6, 6, 121435]"
165,"[0.7261319756507874, 4, 4, 68669]","[0.7796580195426941, 6, 6, 121435]"
166,"[0.7292079329490662, 4, 4, 68669]","[0.7824544310569763, 6, 6, 121435]"
167,"[0.7537029385566711, 4, 4, 68669]","[0.776333212852478, 6, 6, 121435]"
168,"[0.7483952045440674, 4, 4, 68669]","[0.7834245562553406, 6, 6, 121435]"
169,"[0.764668881893158, 4, 4, 68669]","[0.7827886939048767, 6, 6, 121435]"
170,"[0.7562276721000671, 4, 4, 68669]","[0.7977355122566223, 6, 6, 121435]"
171,"[0.762103796005249, 4, 4, 68669]","[0.8090046644210815, 6, 6, 121435]"
172,"[0.7354035377502441, 4, 4, 68669]","[0.826263427734375, 6, 6, 121435]"
173,"[0.7371785044670105, 4, 4, 68669]","[0.8251692652702332, 6, 6, 121435]"
174,"[0.7255678176879883, 4, 4, 68669]","[0.8174262642860413, 6, 6, 121435]"
175,"[0.731499969959259, 4, 4, 68669]","[0.8155587315559387, 6, 6, 121435]"
176,"[0.7129597663879395, 4, 4, 68669]","[0.8149692416191101, 6, 6, 121435]"
177,"[0.7235159873962402, 4, 4, 68669]","[0.8185815811157227, 6, 6, 121435]"
178,"[0.7166619300842285, 4, 4, 68669]","[0.8296172618865967, 6, 6, 121435]"
179,"[0.712634801864624, 4, 4, 68669]","[0.8373309969902039, 6, 6, 121435]"
180,"[0.718308687210083, 4, 4, 68669]","[0.8411460518836975, 6, 6, 121435]"
181,"[0.7608090043067932, 4, 4, 68669]","[0.8264630436897278, 6, 6, 121435]"
182,"[0.7482080459594727, 4, 4, 68669]","[0.8239198923110962, 6, 6, 121435]"
183,"[0.7583468556404114, 4, 4, 68669]","[0.8156709671020508, 6, 6, 121435]"
184,"[0.7302693128585815, 4, 4, 68669]","[0.8271104693412781, 6, 6, 121435]"
185,"[0.7626442909240723, 4, 4, 68669]","[0.819701611995697, 6, 6, 121435]"
186,"[0.7915478944778442, 4, 4, 68669]","[0.8277161717414856, 6, 6, 121435]"
187,"[0.8141284584999084, 4, 4, 68669]","[0.8273366689682007, 6, 6, 121435]"
188,"[0.802519679069519, 4, 4, 68669]","[0.8266162872314453, 6, 6, 121435]"
189,"[0.8094893097877502, 4, 4, 68669]","[0.8171173334121704, 6, 6, 121435]"
190,"[0.8120827674865723, 4, 4, 68669]","[0.8230217695236206, 6, 6, 121435]"
191,"[0.8159265518188477, 4, 4, 68669]","[0.8212999105453491, 6, 6, 121435]"
192,"[0.8255868554115295, 4, 4, 68669]","[0.8274637460708618, 6, 6, 121435]"
193,"[0.8102137446403503, 4, 4, 68669]","[0.8230161070823669, 6, 6, 121435]"
194,"[0.8256253004074097, 4, 4, 68669]","[0.8311435580253601, 6, 6, 121435]"
195,"[0.8180172443389893, 4, 4, 68669]","[0.8228075504302979, 6, 6, 121435]"
196,"[0.8213901519775391, 4, 4, 68669]","[0.821158766746521, 6, 6, 121435]"
197,"[0.8108488321304321, 4, 4, 68669]","[0.8177441954612732, 6, 6, 121435]"
198,"[0.8196653127670288, 4, 4, 68669]","[0.8117009401321411, 6, 6, 121435]"
199,"[0.8157368898391724, 4, 4, 68669]","[0.8039466738700867, 6, 6, 121435]"
