,0,1
136,"[0.7084753513336182, 3, 3, 135040]","[0.3705842196941376, 5, 3, 144455]"
137,"[0.7081558704376221, 3, 3, 135040]","[0.401194304227829, 3, 3, 144455]"
138,"[0.7240253686904907, 3, 3, 135040]","[0.3649322986602783, 5, 3, 144455]"
139,"[0.71234130859375, 3, 3, 135040]","[0.3504659831523895, 5, 3, 144455]"
140,"[0.7312088012695312, 3, 3, 135040]","[0.3508926331996918, 5, 3, 144455]"
141,"[0.697451114654541, 3, 3, 135040]","[0.33231639862060547, 5, 3, 144455]"
142,"[0.9644325375556946, 3, 3, 135040]","[0.7452080845832825, 3, 3, 144455]"
143,"[0.9490354657173157, 3, 3, 135040]","[0.7244330048561096, 3, 3, 144455]"
144,"[0.9526820182800293, 3, 3, 135040]","[0.6961071491241455, 3, 3, 144455]"
145,"[0.9458141326904297, 3, 3, 135040]","[0.6719216704368591, 3, 3, 144455]"
146,"[0.9419795870780945, 3, 3, 135040]","[0.6596126556396484, 3, 3, 144455]"
147,"[0.9371280670166016, 3, 3, 135040]","[0.6470432281494141, 3, 3, 144455]"
148,"[0.9542046785354614, 3, 3, 135040]","[0.6390673518180847, 3, 3, 144455]"
149,"[0.9401510953903198, 3, 3, 135040]","[0.6364749073982239, 3, 3, 144455]"
150,"[0.953053891658783, 3, 3, 135040]","[0.6112992763519287, 3, 3, 144455]"
151,"[0.9386810064315796, 3, 3, 135040]","[0.6275021433830261, 3, 3, 144455]"
152,"[0.9516737461090088, 3, 3, 135040]","[0.6261096000671387, 3, 3, 144455]"
153,"[0.9444553256034851, 3, 3, 135040]","[0.6091547608375549, 3, 3, 144455]"
154,"[0.9533037543296814, 3, 3, 135040]","[0.6224367618560791, 3, 3, 144455]"
155,"[0.9491370320320129, 3, 3, 135040]","[0.590877890586853, 3, 3, 144455]"
156,"[0.955138623714447, 3, 3, 135040]","[0.604098379611969, 3, 3, 144455]"
157,"[0.9442619681358337, 3, 3, 135040]","[0.5843798518180847, 3, 3, 144455]"
158,"[0.9556663632392883, 3, 3, 135040]","[0.5700699687004089, 3, 3, 144455]"
159,"[0.9557926654815674, 3, 3, 135040]","[0.5975473523139954, 3, 3, 144455]"
160,"[0.9555625915527344, 3, 3, 135040]","[0.5714874863624573, 3, 3, 144455]"
161,"[0.9461832642555237, 3, 3, 135040]","[0.569744884967804, 3, 3, 144455]"
162,"[0.949819803237915, 3, 3, 135040]","[0.5684066414833069, 3, 3, 144455]"
163,"[0.9462624192237854, 3, 3, 135040]","[0.5757046341896057, 3, 3, 144455]"
164,"[0.9586619138717651, 3, 3, 135040]","[0.591260552406311, 3, 3, 144455]"
165,"[0.9456193447113037, 3, 3, 135040]","[0.5942058563232422, 3, 3, 144455]"
166,"[0.9549102783203125, 3, 3, 135040]","[0.5820569396018982, 3, 3, 144455]"
167,"[0.9437170028686523, 3, 3, 135040]","[0.5778342485427856, 3, 3, 144455]"
168,"[0.955847978591919, 3, 3, 135040]","[0.5661191344261169, 3, 3, 144455]"
169,"[0.9485903382301331, 3, 3, 135040]","[0.5772539973258972, 3, 3, 144455]"
170,"[0.9497735500335693, 3, 3, 135040]","[0.5607450008392334, 3, 3, 144455]"
171,"[0.9473350048065186, 3, 3, 135040]","[0.5829840302467346, 3, 3, 144455]"
172,"[0.949475109577179, 3, 3, 135040]","[0.5499022603034973, 3, 3, 144455]"
173,"[0.9553040266036987, 3, 3, 135040]","[0.5742836594581604, 3, 3, 144455]"
174,"[0.95480877161026, 3, 3, 135040]","[0.5060132741928101, 3, 3, 144455]"
175,"[0.9471583962440491, 3, 3, 135040]","[0.5873588919639587, 3, 3, 144455]"
176,"[0.9500178098678589, 3, 3, 135040]","[0.5370679497718811, 3, 3, 144455]"
